date,price_inr
2024-04-02,7133.85
2024-04-03,7156.26
2024-04-04,7251.71
2024-04-05,7278.2699999999995
2024-04-08,7240.919999999999
2024-04-09,7141.320000000001
2024-04-10,7219.34
2024-04-11,7120.570000000001
2024-04-12,7176.179999999999
2024-04-15,7155.429999999999
2024-04-16,7150.450000000001
2024-04-17,6937.139999999999
2024-04-18,6930.5
2024-04-19,6954.570000000001
2024-04-22,6957.0599999999995
2024-04-23,6986.110000000001
2024-04-24,6979.47
2024-04-25,7048.360000000001
2024-04-26,7086.54
2024-04-29,6993.580000000001
2024-04-30,6929.669999999999
2024-05-01,6698.1
2024-05-02,6688.97
2024-05-03,6610.950000000001
2024-05-06,6648.299999999999
2024-05-07,6637.51
2024-05-08,6687.3099999999995
2024-05-09,6711.38
2024-05-10,6624.2300000000005
2024-05-13,6698.929999999999
2024-05-14,6608.46
2024-05-15,6659.09
2024-05-16,6710.549999999999
2024-05-17,6777.78
2024-05-20,6755.37
2024-05-21,6694.78
2024-05-22,6569.450000000001
2024-05-23,6430.01
2024-05-24,6513.84
2024-05-28,6714.700000000001
2024-05-29,6659.919999999999
2024-05-30,6553.679999999999
2024-05-31,6471.51
2024-06-03,6246.580000000001
2024-06-04,6164.41
2024-06-05,6231.639999999999
2024-06-06,6351.16
2024-06-07,6351.99
2024-06-10,6536.25
2024-06-11,6547.04
2024-06-12,6603.4800000000005
2024-06-13,6607.63
2024-06-14,6591.03
2024-06-17,6750.389999999999
2024-06-18,6861.610000000001
2024-06-20,6917.22
2024-06-21,6781.929999999999
2024-06-24,6858.29
2024-06-25,6803.51
2024-06-26,6821.7699999999995
2024-06-27,6892.320000000001
2024-06-28,6874.889999999999
2024-07-01,7030.1
2024-07-02,6979.47
2024-07-03,7070.7699999999995
2024-07-05,7008.5199999999995
2024-07-08,6941.29
2024-07-09,6870.74
2024-07-10,6921.37
2024-07-11,6965.360000000001
2024-07-12,6929.669999999999
2024-07-15,6907.26
2024-07-16,6799.360000000001
2024-07-17,6985.28
2024-07-18,6986.110000000001
